u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,bridge,junction,width,access,tunnel
11878701509,12184195201,0,863706111,residential,,,Valonų g.,False,,False,89.13697731078429,"LINESTRING (23.8493818 54.8598419, 23.849468 54.8598227, 23.8502338 54.8596426, 23.850676 54.8595459)",,,,,
11878701509,7365413857,0,"[787807638, 863706111]",residential,,,"['Valonų g.', 'Flamandų g.']",False,,True,235.89573590205586,"LINESTRING (23.8493818 54.8598419, 23.8474462 54.8602744, 23.8473852 54.860288, 23.8471096 54.8606116, 23.8470232 54.8606681, 23.8462865 54.8608277)",,,,,
11878701509,11878701508,0,1279618349,residential,,,,False,,False,131.1880184791839,"LINESTRING (23.8493818 54.8598419, 23.8494601 54.8597412, 23.8496338 54.8595179, 23.8498025 54.859301, 23.8502194 54.8587651)",,,,,
11878701628,938392417,0,80415686,residential,,,,False,,False,80.24311645493695,"LINESTRING (23.9132423 54.8809172, 23.9132785 54.8809915, 23.9133092 54.8810305, 23.9133455 54.8814559, 23.9133773 54.8816307)",,,,,
11878701628,7911181784,0,847798039,residential,2,50,Lakūnų pl.,False,,False,114.28211819184243,"LINESTRING (23.9132423 54.8809172, 23.9133773 54.8808978, 23.913732 54.8808108, 23.9141447 54.8806673, 23.9146254 54.8804077, 23.9146713 54.8803768, 23.9147035 54.8803551)",,,,,
11878701628,938392430,0,847798039,residential,2,50,Lakūnų pl.,False,,True,69.7153064446878,"LINESTRING (23.9132423 54.8809172, 23.913099 54.8809377, 23.9129924 54.8809441, 23.9127974 54.8809507, 23.9125268 54.8809423, 23.9123066 54.8809355, 23.9121587 54.8809305)",,,,,
12031849690,3293360056,0,322562389,residential,,,Gavaičių g.,False,,True,116.99462995810714,"LINESTRING (23.9661092 54.8563025, 23.9662082 54.8562769, 23.9678045 54.8559093)",,,,,
12078941275,4331507044,0,22908638,tertiary,,50,Bivylių g.,False,,False,248.18274950507194,"LINESTRING (23.845246 54.9372277, 23.8467729 54.9374028, 23.8477124 54.93751, 23.8489176 54.9376476, 23.8490566 54.9376631)",,,,,
12078941275,1025051139,0,22908638,tertiary,,50,Bivylių g.,False,,True,96.31329060601973,"LINESTRING (23.845246 54.9372277, 23.844628 54.9371569, 23.8437674 54.9370582)",,,,,
12078941275,12078941277,0,1304316198,residential,,,,False,,False,328.82097685922474,"LINESTRING (23.845246 54.9372277, 23.8452439 54.9373151, 23.8452337 54.9377396, 23.8452243 54.9381294, 23.845207 54.9388444, 23.8451964 54.939285, 23.8451855 54.9397375, 23.8459635 54.9397509)",,,,,
12078941277,12078941275,0,1304316198,residential,,,,False,,True,328.8209768592248,"LINESTRING (23.8459635 54.9397509, 23.8451855 54.9397375, 23.8451964 54.939285, 23.845207 54.9388444, 23.8452243 54.9381294, 23.8452337 54.9377396, 23.8452439 54.9373151, 23.845246 54.9372277)",,,,,
12089228121,10879359924,0,1170369416,tertiary,1,50,,True,,False,18.572368432294287,"LINESTRING (23.8629145 54.9350149, 23.8629059 54.9350195, 23.8628643 54.9350313, 23.8628185 54.935036, 23.8627722 54.935033, 23.8627293 54.9350227, 23.8626932 54.9350059, 23.8626668 54.9349839)",,roundabout,,,
12089228121,10879359912,0,1170369418,tertiary,,,B. Brazdžionio g.,False,,True,20.694291703533963,"LINESTRING (23.8629145 54.9350149, 23.8629615 54.9350394, 23.8631545 54.9351399)",,,,,
12089265981,2163599845,0,"[82424123, 1175767235, 28598446]",residential,,40,Gervių g.,False,,"[False, True]",380.06472074747916,"LINESTRING (23.8301008 54.9087096, 23.8301702 54.9088028, 23.8311448 54.9098569, 23.8320401 54.9108244, 23.8324466 54.9112727, 23.8328639 54.9117357)",,,,,
